,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
1083,"3215 Avenue H #1p, Brooklyn, NY 11210, USA",40.6320616,-73.9452586,ROOFTOP,EiozMjE1IEF2ZW51ZSBIICMxcCwgQnJvb2tseW4sIE5ZIDExMjEwLCBVU0EiHhocChYKFAoSCZG5nuRSW8KJEauEBJ-XiJZfEgIxcA,subpremise,11210,"3215 Avenue H, Suite 1P, Brooklyn, NY",1,OK
1084,"85-38 168th Pl, Queens, NY 11432, USA",40.7126823,-73.79533409999999,ROOFTOP,ChIJ6epY5OFgwokRj4Xo8H97iRo,premise,11432,"8538 168th Place, Queens, NY",1,OK
1085,"196-6 Hillside Avenue, Hollis, NY 11423, USA",40.71750249999999,-73.7662352,RANGE_INTERPOLATED,EiwxOTYtNiBIaWxsc2lkZSBBdmVudWUsIEhvbGxpcywgTlkgMTE0MjMsIFVTQSIaEhgKFAoSCUf5wcNzYcKJEd95Yj7hovcUEAY,street_address,11423,"1966-22 Hillside Avenue, Queens, NY",1,OK
1086,"39-16 Prince St, Flushing, NY 11354, USA",40.7590973,-73.832247,ROOFTOP,ChIJ_YPKZQ5gwokRvF3GK3wDHKs,premise,11354,"39-16 Prince Street, 154, Queens, NY",2,OK
1087,"38-34 Parsons Blvd, Flushing, NY 11354, USA",40.7617311,-73.8223608,ROOFTOP,ChIJW8wRYhdgwokR8pGUGvFLjik,street_address,11354,"38-34 Parsons Boulevard, 1-D, Queens, NY",1,OK
1088,"110 W 97th St, New York, NY 10025, USA",40.79358240000001,-73.9675886,ROOFTOP,ChIJZQShcif2wokRbzIL2NktdZU,street_address,10025,"110 West 97th Street, Manhattan, NY",1,OK
1089,"645 10th Ave, New York, NY 10036, USA",40.7620291,-73.99414209999999,ROOFTOP,ChIJw6u1-1FYwokRgisLxdg_RLA,premise,10036,"645 10th Avenue, Manhattan, NY",2,OK
1090,"279 E 3rd St, New York, NY 10009, USA",40.7215718,-73.9800563,ROOFTOP,ChIJ_xAIHnlZwokRY8xt882BHOQ,premise,10009,"279 East 3rd Street, Manhattan, NY",1,OK
1091,"801 Amsterdam Ave, New York, NY 10025, USA",40.7959946,-73.9686316,ROOFTOP,ChIJPc_4Xib2wokR2yBa4op8Ywo,premise,10025,"801 Amsterdam Avenue, n/a, Manhattan, NY",1,OK
1092,"212 E 106th St, New York, NY 10029, USA",40.7910414,-73.9441106,ROOFTOP,ChIJq6dJVwL2wokRUTrmiMzVCEo,premise,10029,"212 East 106th Street, Manhattan, NY",1,OK
1093,"1121 Coney Island Ave, Brooklyn, NY 11230, USA",40.6302834,-73.9658077,ROOFTOP,ChIJXaU1c8xEwokRBmAXeB8CMBQ,premise,11230,"1121 Coney Island Avenue, Brooklyn, NY",1,OK
1094,"1110 Granville Payne Ave, Brooklyn, NY 11207, USA",40.6535699,-73.8872962,GEOMETRIC_CENTER,ChIJCbeCwAJdwokRuRb8kDNArIw,premise,11207,"1110 Pennsylvania Avenue, Brooklyn, NY",1,OK
1095,"501 5th Ave, Brooklyn, NY 11215, USA",40.6670291,-73.98770900000001,ROOFTOP,ChIJQbEStPxawokRf2wMcZf9Ki8,premise,11215,"501 5th Avenue, Brooklyn, NY",1,OK
1096,"372 E 204th St, Bronx, NY 10467, USA",40.8713298,-73.8773623,ROOFTOP,ChIJfwKh13HzwokRK9gezKhHnlA,premise,10467,"372 East 204th Street, Bronx, NY",1,OK
1097,"932 E 174th St, Bronx, NY 10460, USA",40.83702,-73.887255,ROOFTOP,ChIJX5j1vPX0wokRxRGEWCH171M,street_address,10460,"932 East 174th Street, Bronx, NY",1,OK
1098,"37-15 23rd Ave, Queens, NY 11105, USA",40.7719013,-73.9089274,ROOFTOP,ChIJax_i_GhfwokR_0Rs8oipJ1Y,premise,11105,"37-15 23rd Avenue, Queens, NY",1,OK
1099,"2063A Bartow Ave, Bronx, NY 10475, USA",40.87017900000001,-73.8283809,ROOFTOP,ChIJaVQoariMwokRwxXQXWxtJAE,street_address,10475,"2063A Bartow Avenue, Bronx, NY",1,OK
